State,Left-Back,Left Wing,Attacking Midfield,Left Midfield,Keeper,Right Wing,Defensive Midfield,Centre Forward,Secondary Striker,Centre Back,Right-Back,Central Midfield
Primera Division,15.71,43.28,27.8,0.1,31.18,18.0,8.94,21.58,17.83,23.5,15.0,17.33
Premier League,17.83,27.91,28.3,27.7,17.44,17.11,25.46,32.5,19.0,15.0,14.0,24.08
Bundesliga,19.0,22.25,20.1,7.0,16.08,14.06,13.9,13.25,23.0,16.07,8.5,15.16
Serie A,9.16,12.83,13.14,17.25,17.05,12.25,18.5,10.16,15.0,11.35,9.14,17.6
Ligue 1,7.3,8.37,0.1,9.11,10.81,8.5,8.13,10.0,12.26,0.1,6.35,12.83
