Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
 	Uwe Ommer	m.0345h	Germany	people.person.nationality
 	Armando Zani	m.0345h	Germany	people.person.nationality
 	Sergio Pellissier	m.03rjj	Italy	people.person.nationality
 	Marc Zellweger	m.06mzp	Switzerland	people.person.nationality
 	Stephen Pearson	m.06q1r	Scotland	people.person.nationality
 	Marco Grote	m.0345h	Germany	people.person.nationality
 	David Berwecke	m.0345h	Germany	people.person.nationality
 	Michael van Geele	m.0154j	Belgium	people.person.nationality
 	Oliver Risser	m.05bmq	Namibia	people.person.nationality
 	Ivano Biancavilla	m.06mzp	Switzerland	people.person.nationality
 	Rod Fanni	m.0f8l9c	France	people.person.nationality
 	Holger Fach	m.0345h	Germany	people.person.nationality
 	Umut Taskiran	m.0345h	Germany	people.person.nationality
 	Dimitris Colon	m.035qy	Greece	people.person.nationality
 	JosÃ© Luis SantamarÃ­a	m.06mkj	Spain	people.person.nationality
 	Andreas Rill	m.0345h	Germany	people.person.nationality
 	Aleksey Zuev	m.06bnz	Russia	people.person.nationality
 	Kenan Sahin	m.01znc_	Turkey	people.person.nationality
 	Paul Janke	m.0345h	Germany	people.person.nationality
 	Richard Cresswell	m.02jx1	England	people.person.nationality
 	Guido Krauel	m.0345h	Germany	people.person.nationality
 	Domingues Perreira	m.05r4w	Portugal	people.person.nationality
 	Sinan Ertan	m.01znc_	Turkey	people.person.nationality
 	Alexander Nouri	m.0345h	Germany	people.person.nationality
 	Simon Davies	m.0j5g9	Wales	people.person.nationality
 	Carsten Laun	m.0345h	Germany	people.person.nationality
 	Giuseppe Catizone	m.03rjj	Italy	people.person.nationality
 	Justus Six	m.0345h	Germany	people.person.nationality
 	Gary Blissett	m.02jx1	England	people.person.nationality
 	Steffen StÃ¶tzel	m.0345h	Germany	people.person.nationality
 	Dirk Lehmann	m.0345h	Germany	people.person.nationality
 	Markus Thorandt	m.0345h	Germany	people.person.nationality
 	Tino Zock	m.0345h	Germany	people.person.nationality
 	Matthias Hohmann	m.0345h	Germany	people.person.nationality
 	Patrick Vieira	m.0f8l9c	France	people.person.nationality
 	JosÃ© Bosingwa	m.05r4w	Portugal	people.person.nationality
 	Dalibor Mitrovic	m.077qn	Serbia	people.person.nationality
 	Alexander Kuschmann	m.0345h	Germany	people.person.nationality
 	Selcuk Dede	m.0345h	Germany	people.person.nationality
 	Giovanni	m.015fr	Brazil	people.person.nationality
 	Chad Harpur	m.0hzlz	South Africa	people.person.nationality
 	Oliver Dense	m.0345h	Germany	people.person.nationality
 	Aleksandar Rankovic	m.077qn	Serbia	people.person.nationality
 	LuÃ­s Miguel	m.0j4b	Angola	people.person.nationality
 	Efthimios Pantelidis	m.035qy	Greece	people.person.nationality
 	Mirko Brill	m.0345h	Germany	people.person.nationality
 	Gareth Whalley	m.02jx1	England	people.person.nationality
 	Francesco Lodi	m.03rjj	Italy	people.person.nationality
 	Christian SchiffbÃ¤nker	m.0345h	Germany	people.person.nationality
 	Christian Goth	m.0345h	Germany	people.person.nationality
 	Boris Zivkovic	m.01pj7	Croatia	people.person.nationality
 	Sebastian KlÃ¶mich	m.0345h	Germany	people.person.nationality
 	Revaz Gotsiridze	m.0d0kn	Georgia	people.person.nationality
 	BjÃ¶rn Hartmann	m.0345h	Germany	people.person.nationality
 	Jason Norville	m.09lxtg	Trinidad and Tobago	people.person.nationality
 	Adam Ledwon â€ 	m.05qhw	Poland	people.person.nationality
 	JÃ¼rgen Schmid	m.0345h	Germany	people.person.nationality
 	Hans-JÃ¼rgen Brunner	m.0345h	Germany	people.person.nationality
 	ZÃ© Castro	m.05r4w	Portugal	people.person.nationality
 	Jan Heintze	m.0k6nt	Denmark	people.person.nationality
 	Andrew Sinkala	m.088vb	Zambia	people.person.nationality
 	Tim Ebersbach	m.0345h	Germany	people.person.nationality
 	Aleksey Kosonogov	m.06bnz	Russia	people.person.nationality
 	Ole Gunnar Solskjaer	m.05b4w	Norway	people.person.nationality
 	Christian Rose	m.0345h	Germany	people.person.nationality
 	Daniel Felgenhauer	m.0345h	Germany	people.person.nationality
 	Roman Szewczyk	m.05qhw	Poland	people.person.nationality
 	Prince Asubonteng	m.0154j	Belgium	people.person.nationality
 	Maurizio Bedin	m.03rjj	Italy	people.person.nationality
 	Alessandro	m.015fr	Brazil	people.person.nationality
 	Igor Mitreski	m.0bk25	Macedonia	people.person.nationality
 	Michael Lamey	m.059j2	Netherlands	people.person.nationality
 	Alex Burns	m.06q1r	Scotland	people.person.nationality
 	Alexander Konjevic	m.0345h	Germany	people.person.nationality
 	Michael VÃ¶gel	m.0345h	Germany	people.person.nationality
