Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
 	Massimiliano Giovanni Caniato	m.03rjj	Italy	people.person.nationality
 	Per Jerrelind	m.0d0vqn	Sweden	people.person.nationality
 	GastÃ³n CenturiÃ³n	m.07twz	Uruguay	people.person.nationality
 	Jon MartÃ­n	m.06mkj	Spain	people.person.nationality
 	Eamon Zayed	m.04gqr	Libya	people.person.nationality
 	William Schmidt	m.0d0vqn	Sweden	people.person.nationality
 	Henri Hallgren	m.02vzc	Finland	people.person.nationality
 	Daun Mathew	m.06t2t	Singapore	people.person.nationality
 	Kevin Rosinski	m.0345h	Germany	people.person.nationality
 	Alexander Ebert	m.0345h	Germany	people.person.nationality
 	SÃ©rigne Cheikh Diouck	m.06srk	Senegal	people.person.nationality
 	Anthony Spinosa	m.0154j	Belgium	people.person.nationality
 	Jordi van Gelderen	m.059j2	Netherlands	people.person.nationality
 	Walter Monaco	m.03rjj	Italy	people.person.nationality
 	Philip Da Silva	m.09c7w0	United States of America	people.person.nationality
 	Dominik Chwalek	m.0345h	Germany	people.person.nationality
 	Anders Trondsen	m.05b4w	Norway	people.person.nationality
 	Marinho Rodrigo Marinho Macedo	m.015fr	Brazil	people.person.nationality
 	Trevor Spurgeon	m.09c7w0	United States of America	people.person.nationality
 	Tobias Mielke	m.0345h	Germany	people.person.nationality
 	Quique	m.06mkj	Spain	people.person.nationality
 	Vincenzo Parrinello	m.03rjj	Italy	people.person.nationality
 	RenÃ© Maessen	m.059j2	Netherlands	people.person.nationality
 	Augusto Di Muri	m.03rjj	Italy	people.person.nationality
 	Janosch Diemer	m.0345h	Germany	people.person.nationality
 	Dmytro Mishenin	m.07t21	Ukraine	people.person.nationality
 	Axel Nasse	m.0345h	Germany	people.person.nationality
 	Lars GÃ¶deke	m.0345h	Germany	people.person.nationality
 	Naod Kibrom	m.0d0vqn	Sweden	people.person.nationality
 	Anto Breslin	m.03rt9	Ireland	people.person.nationality
 	Shun Yaginuma	m.03_3d	Japan	people.person.nationality
 	Zoran Peic	m.077qn	Serbia	people.person.nationality
 	Christoph Pansa	m.0345h	Germany	people.person.nationality
 	Steven MÃ¼hl	m.0345h	Germany	people.person.nationality
 	Dmitri Karasev	m.06bnz	Russia	people.person.nationality
 	Simon Schernthanner	m.0h7x	Austria	people.person.nationality
 	Samba Gueye	m.06srk	Senegal	people.person.nationality
 	Enis Gavazaj	m.0jdx	Albania	people.person.nationality
 	Davide Lucarelli	m.03rjj	Italy	people.person.nationality
 	Jon Stead	m.02jx1	England	people.person.nationality
 	Oliver Makor	m.04hzj	Liberia	people.person.nationality
 	Marc Hurek	m.0345h	Germany	people.person.nationality
 	Hammadi Ahmed	m.0d05q4	Iraq	people.person.nationality
 	Jonas Ã–sterberg	m.0d0vqn	Sweden	people.person.nationality
 	Timo Brotkin	m.02vzc	Finland	people.person.nationality
 	Aimar Moratalla	m.06mkj	Spain	people.person.nationality
 	Nourkhan Ghulam Said	m.0697s	Qatar	people.person.nationality
 	Juraimie Dawood	m.06t2t	Singapore	people.person.nationality
 	Rocco Roberto Paris	m.03rjj	Italy	people.person.nationality
 	Gualtiero Grandini	m.03rjj	Italy	people.person.nationality
 	Narongdet Solbakken	m.05b4w	Norway	people.person.nationality
 	Enrico Pionetti	m.03rjj	Italy	people.person.nationality
 	Matti Kohonen	m.02vzc	Finland	people.person.nationality
 	Georgios Georgakopoulos	m.035qy	Greece	people.person.nationality
 	Oleg Cherepnev	m.0163v	Belarus	people.person.nationality
 	Carlos McCrary	m.09c7w0	United States of America	people.person.nationality
 	Walter Pelletti	m.07twz	Uruguay	people.person.nationality
 	Martin Cavdarovski	m.0d0vqn	Sweden	people.person.nationality
 	Severi Murto	m.02vzc	Finland	people.person.nationality
 	Marcus Pereira	m.0d0vqn	Sweden	people.person.nationality
 	Gunnar Wigelund	m.03rj0	Iceland	people.person.nationality
 	Erhan Demir	m.01znc_	Turkey	people.person.nationality
 	Heinz Zanner	m.0h7x	Austria	people.person.nationality
 	Giuseppe Alberga	m.03rjj	Italy	people.person.nationality
 	Corrado Urbano	m.03rjj	Italy	people.person.nationality
 	Robert SimÃ³n	m.06mkj	Spain	people.person.nationality
 	Ubaldo Righetti	m.03rjj	Italy	people.person.nationality
 	Jon Uotila	m.02vzc	Finland	people.person.nationality
 	David Camino	m.06mkj	Spain	people.person.nationality
 	Marcel Auer	m.0345h	Germany	people.person.nationality
 	Sinan TÃ¼rkmen	m.0h7x	Austria	people.person.nationality
 	Diego Wendel	m.015fr	Brazil	people.person.nationality
 	Matthias BÃ¤tz	m.0345h	Germany	people.person.nationality
 	Sergey Shulgin	m.06bnz	Russia	people.person.nationality
 	Matti Ollila	m.02vzc	Finland	people.person.nationality
 	Sven-Tobias Schacht	m.0345h	Germany	people.person.nationality
 	BjÃ¶rn Otto Willassen	m.05b4w	Norway	people.person.nationality
 	Juuso Korhonen	m.02vzc	Finland	people.person.nationality
 	Simon Milton	m.02jx1	England	people.person.nationality
 	Lee Philpott	m.02jx1	England	people.person.nationality
 	Arthur Hannes	m.0154j	Belgium	people.person.nationality
 	Aki Karjula	m.02vzc	Finland	people.person.nationality
 	Matej Biro	m.01pj7	Croatia	people.person.nationality
 	Patrick Rene Haasler	m.0345h	Germany	people.person.nationality
 	Niall Largey	m.05bcl	Northern Ireland	people.person.nationality
 	Andrea Sardini	m.03rjj	Italy	people.person.nationality
 	Diego Silva	m.016wzw	Peru	people.person.nationality
 	JosÃ© Postiga	m.05r4w	Portugal	people.person.nationality
 	Kazushi Uchida	m.03_3d	Japan	people.person.nationality
 	Hugo Basto	m.05r4w	Portugal	people.person.nationality
 	AndrÃ© Keilwerth	m.0345h	Germany	people.person.nationality
 	Paul Goddard	m.02jx1	England	people.person.nationality
 	Fauzie Amin	m.06t2t	Singapore	people.person.nationality
 	Dean Marshall	m.06q1r	Scotland	people.person.nationality
 	Antonio Orlovic	m.01pj7	Croatia	people.person.nationality
 	Gocha Gujabidze	m.0d0kn	Georgia	people.person.nationality
 	David Beharall	m.02jx1	England	people.person.nationality
 	Davor Taleski	m.0bk25	Macedonia	people.person.nationality
 	Dejan Saric	m.077qn	Serbia	people.person.nationality
 	Andrew Smalley	m.09c7w0	United States of America	people.person.nationality
 	Nermin Hodzic	m.0166b	Bosnia and Herzegovina	people.person.nationality
 	Zafer  Temirci	m.01znc_	Turkey	people.person.nationality
 	Jonathan Fondaire	m.0154j	Belgium	people.person.nationality
 	Gianluca Petrachi	m.03rjj	Italy	people.person.nationality
 	Hendry CÃ³rdoba	m.03h2c	Honduras	people.person.nationality
 	Fran Brodic	m.01pj7	Croatia	people.person.nationality
 	Freebody Appiah	m.0k6nt	Denmark	people.person.nationality
 	PÃ¡lmi ThÃ³r Valgeirsson	m.03rj0	Iceland	people.person.nationality
 	Soria	m.06mkj	Spain	people.person.nationality
 	Simone Erba	m.03rjj	Italy	people.person.nationality
 	Sam Gallagher	m.02jx1	England	people.person.nationality
 	Christian Rye	m.0k6nt	Denmark	people.person.nationality
 	Spadacio	m.015fr	Brazil	people.person.nationality
 	Mitsuki Watanabe	m.03_3d	Japan	people.person.nationality
 	Andy Robinson	m.02jx1	England	people.person.nationality
 	Anton Lundqvist	m.0d0vqn	Sweden	people.person.nationality
 	Wataru Tagami	m.03_3d	Japan	people.person.nationality
 	Jeff Eckhardt	m.02jx1	England	people.person.nationality
 	Diamand Haxhia	m.0jdx	Albania	people.person.nationality
 	Daniel Steres	m.09c7w0	United States of America	people.person.nationality
 	Detlef Meyer	m.0345h	Germany	people.person.nationality
 	Felix Dankert	m.0345h	Germany	people.person.nationality
 	Muhamet Cakolli	m.0345h	Germany	people.person.nationality
 	Ilias Botaitis	m.035qy	Greece	people.person.nationality
 	David Roth	m.09c7w0	United States of America	people.person.nationality
 	Bryan Constant	m.0f8l9c	France	people.person.nationality
 	Nayoas Aizawa	m.0b90_r	Mexico	people.person.nationality
 	Andrea Casimirri	m.03rjj	Italy	people.person.nationality
 	Keitaro Komori	m.03_3d	Japan	people.person.nationality
 	Fakhrul Zulhazmi	m.0167v	Brunei	people.person.nationality
 	Pavel Petkov	m.015qh	Bulgaria	people.person.nationality
 	Faisal Dahir	m.05b4w	Norway	people.person.nationality
 	Martin Ekholm	m.02vzc	Finland	people.person.nationality
 	Ruan	m.015fr	Brazil	people.person.nationality
 	Kaito Tsujimoto	m.03_3d	Japan	people.person.nationality
 	Mauricio SolÃ­s	m.01p8s	Costa Rica	people.person.nationality
 	Nico RÃ¶hrich	m.0345h	Germany	people.person.nationality
 	Sebastian Hinz	m.0345h	Germany	people.person.nationality
 	Olivier Ntcham	m.0f8l9c	France	people.person.nationality
 	Danilinho	m.015fr	Brazil	people.person.nationality
 	Murat Lokurlu	m.01znc_	Turkey	people.person.nationality
 	Wagneau Eloi	m.03gyl	Haiti	people.person.nationality
 	Gianfranco Parlato	m.03rjj	Italy	people.person.nationality
 	Arif Fazlie	m.09pmkv	Malaysia	people.person.nationality
 	Andreas Below	m.0345h	Germany	people.person.nationality
 	Erik Ã…strÃ¶m	m.0d0vqn	Sweden	people.person.nationality
 	Freddie Woodman	m.02jx1	England	people.person.nationality
 	SÃ¼reyya Yilmaz	m.01znc_	Turkey	people.person.nationality
 	Vittorio Clemente	m.03rjj	Italy	people.person.nationality
 	Ilias Kotsios	m.035qy	Greece	people.person.nationality
 	Alessandro Pedroni	m.03rjj	Italy	people.person.nationality
 	Lee Norfolk	m.0ctw_b	New Zealand	people.person.nationality
 	Juanma Delgado	m.06mkj	Spain	people.person.nationality
 	Kazuto Nodera	m.03_3d	Japan	people.person.nationality
 	Phanuwat Jinta	m.07f1x	Thailand	people.person.nationality
 	Antonio Juretic	m.01pj7	Croatia	people.person.nationality
 	Norazmi Hassan	m.06t2t	Singapore	people.person.nationality
 	Simone Altobelli	m.03rjj	Italy	people.person.nationality
 	Dennis Lim	m.06t2t	Singapore	people.person.nationality
 	Igor Nascimento	m.0j4b	Angola	people.person.nationality
 	Frazer Cobb	m.02jx1	England	people.person.nationality
 	Juha-Matti Huovinen	m.02vzc	Finland	people.person.nationality
 	Maurizio Giovannelli	m.03rjj	Italy	people.person.nationality
 	Jack McCrea	m.05bcl	Northern Ireland	people.person.nationality
 	Jere GrÃ¶nlund	m.02vzc	Finland	people.person.nationality
 	Klaas Klein	m.059j2	Netherlands	people.person.nationality
 	Luca Luzardi	m.03rjj	Italy	people.person.nationality
 	Clebinho	m.015fr	Brazil	people.person.nationality
 	Yann Vogel	m.0345h	Germany	people.person.nationality
 	Habibou TraorÃ©	m.06srk	Senegal	people.person.nationality
 	Davor Kulasinac	m.01pj7	Croatia	people.person.nationality
 	Klajdi Ruci	m.0jdx	Albania	people.person.nationality
 	Ivan Fiolic	m.01pj7	Croatia	people.person.nationality
 	Luke Hornsey	m.02jx1	England	people.person.nationality
 	Fran	m.06mkj	Spain	people.person.nationality
 	Marcel Stieffenhofer	m.0345h	Germany	people.person.nationality
 	Brian Pedersen	m.07twz	Uruguay	people.person.nationality
 	Tero ViheriÃ¤ranta	m.02vzc	Finland	people.person.nationality
 	Alexander Nilsson	m.0d0vqn	Sweden	people.person.nationality
 	Thomas Wharf	m.02jx1	England	people.person.nationality
 	Krum Stoyanov	m.015qh	Bulgaria	people.person.nationality
 	Mirko Mustur	m.056vv	Montenegro	people.person.nationality
 	Daniele Moretti	m.03rjj	Italy	people.person.nationality
 	Luigi Corino	m.03rjj	Italy	people.person.nationality
 	Catello Cimmino	m.03rjj	Italy	people.person.nationality
 	Omar Lopez	m.09c7w0	United States of America	people.person.nationality
 	Vasillaq ZÃ«ri	m.0jdx	Albania	people.person.nationality
 	Benito Paz Dias	m.0345h	Germany	people.person.nationality
 	Mikel Xhyrani	m.0jdx	Albania	people.person.nationality
 	Pascal KÃ¼ÃŸner	m.0345h	Germany	people.person.nationality
 	Philipp Boyer	m.0345h	Germany	people.person.nationality
 	Roman Janousek	m.01mjq	Czech Republic	people.person.nationality
 	Kimmo Halmkrona	m.02vzc	Finland	people.person.nationality
 	Michael Arnolds	m.0345h	Germany	people.person.nationality
 	Sergio Iglesias	m.06mkj	Spain	people.person.nationality
 	Daniele Beltrammi	m.03rjj	Italy	people.person.nationality
 	Jure Matijasevic	m.01pj7	Croatia	people.person.nationality
 	Lautaro Gianetti	m.0jgd	Argentina	people.person.nationality
 	Giampaolo Ceramicola	m.03rjj	Italy	people.person.nationality
 	Hamed Lak	m.03shp	Iran	people.person.nationality
 	Fahd Aktaou	m.059j2	Netherlands	people.person.nationality
 	Delaney Yaqona	m.02wt0	Fiji	people.person.nationality
 	Manuel Rossini	m.06mzp	Switzerland	people.person.nationality
 	Djordje Radovanovic	m.077qn	Serbia	people.person.nationality
 	Kengo Tanaka	m.03_3d	Japan	people.person.nationality
 	Fabio Tricarico	m.03rjj	Italy	people.person.nationality
 	Ben Everson	m.02jx1	England	people.person.nationality
 	Carlos Rivas	m.01ls2	Colombia	people.person.nationality
 	Erkka PÃ¶nni	m.02vzc	Finland	people.person.nationality
 	Jesus Cisneros	m.09c7w0	United States of America	people.person.nationality
 	JoaquÃ­n Correa	m.0jgd	Argentina	people.person.nationality
 	Mahmut Bilir	m.01znc_	Turkey	people.person.nationality
 	Andres de Glas	m.0154j	Belgium	people.person.nationality
 	Nicholas Muyoti	m.019rg5	Kenya	people.person.nationality
 	Makoto Nakamura	m.03_3d	Japan	people.person.nationality
 	Ville Vanttaja	m.02vzc	Finland	people.person.nationality
 	Atanas Iliev	m.015qh	Bulgaria	people.person.nationality
 	Joe Curtis	m.02jx1	England	people.person.nationality
 	Hugo Ã�ngeles	m.016wzw	Peru	people.person.nationality
 	Adriano Sella	m.015fr	Brazil	people.person.nationality
 	Nortaufiq Samsuri	m.06t2t	Singapore	people.person.nationality
 	Mark O'Brien	m.03rt9	Ireland	people.person.nationality
 	Salvadore Bacci	m.03rjj	Italy	people.person.nationality
 	Roberto Chierici	m.03rjj	Italy	people.person.nationality
 	Stanislaw Sobczynski	m.05qhw	Poland	people.person.nationality
 	Khalid Ali Matar	m.0j1z8	United Arab Emirates	people.person.nationality
 	Paolo Monelli	m.03rjj	Italy	people.person.nationality
 	Christos Moucas	m.0154j	Belgium	people.person.nationality
 	Hassen Larbi	m.07fj_	Tunisia	people.person.nationality
 	Paolo Miano	m.03rjj	Italy	people.person.nationality
 	Christian Plazas	m.07ylj	Venezuela	people.person.nationality
 	Mathias Becker	m.0345h	Germany	people.person.nationality
 	Marcos Amaro-Rubio	m.015fr	Brazil	people.person.nationality
 	Raffaelo Cerbone	m.03rjj	Italy	people.person.nationality
 	Riki Kitawaki	m.03_3d	Japan	people.person.nationality
 	Chumbi	m.06mkj	Spain	people.person.nationality
 	Salvatore Mazzorano	m.03rjj	Italy	people.person.nationality
 	Michael Watt	m.06q1r	Scotland	people.person.nationality
 	Ennio Dal Bianco	m.03rjj	Italy	people.person.nationality
 	Sam Jammeh	m.0hdx8	Gambia	people.person.nationality
 	Petter Hermstad	m.05b4w	Norway	people.person.nationality
 	Pascal Steigberger	m.0h7x	Austria	people.person.nationality
 	ChÃ©rif Souleymane	m.03676	Guinea	people.person.nationality
 	Rainer Lorenz	m.0345h	Germany	people.person.nationality
 	JÃ¼rgen Muus	m.0345h	Germany	people.person.nationality
 	IstvÃ¡n SzatmÃ¡ri	m.03gj2	Hungary	people.person.nationality
 	Edgar Ã�lvarez	m.09c7w0	United States of America	people.person.nationality
 	Deni HoÄ�ko	m.056vv	Montenegro	people.person.nationality
 	Richard Mahoney	m.01p8s	Costa Rica	people.person.nationality
 	Jerry Nissinen	m.02vzc	Finland	people.person.nationality
 	Alessandro Chiodini	m.03rjj	Italy	people.person.nationality
 	Ville Ranta-aho	m.02vzc	Finland	people.person.nationality
 	Pietro Fanna	m.03rjj	Italy	people.person.nationality
 	Steinar Aron MagnÃºsson	m.03rj0	Iceland	people.person.nationality
 	Matias Tulla	m.02vzc	Finland	people.person.nationality
 	Alessandro Romano	m.03rjj	Italy	people.person.nationality
 	Helmut Pettauer	m.0h7x	Austria	people.person.nationality
 	Jonathan HyvÃ¤rinen	m.02vzc	Finland	people.person.nationality
 	Massimo Mariotto	m.03rjj	Italy	people.person.nationality
 	Sascha Wilhelm	m.0345h	Germany	people.person.nationality
 	Rasmus Larsson	m.0d0vqn	Sweden	people.person.nationality
 	RubÃ©n Arce	m.06mkj	Spain	people.person.nationality
 	Abdoulaye Sylla	m.0d060g	Canada	people.person.nationality
 	Minas Pitsos	m.035qy	Greece	people.person.nationality
 	Maximilian Egger	m.0h7x	Austria	people.person.nationality
 	Gerrit Meyer	m.0345h	Germany	people.person.nationality
 	Jamie Hopcutt	m.02jx1	England	people.person.nationality
 	Beto Navarro	m.09c7w0	United States of America	people.person.nationality
 	Matthew Rush	m.02jx1	England	people.person.nationality
 	Peter StÃ¶ger	m.0h7x	Austria	people.person.nationality
 	Gunnar MÃ¡r HallgrÃ­msson	m.03rj0	Iceland	people.person.nationality
 	Hedi Khayat	m.02vzc	Finland	people.person.nationality
 	Amilton	m.015fr	Brazil	people.person.nationality
 	Zygmut Garlowski â€ 	m.05qhw	Poland	people.person.nationality
 	Patrick van Zundert	m.059j2	Netherlands	people.person.nationality
 	Robin Dobios	m.0345h	Germany	people.person.nationality
 	Stefano Bonometti	m.03rjj	Italy	people.person.nationality
 	Paulo Mendes	m.015fr	Brazil	people.person.nationality
 	Ibai	m.06mkj	Spain	people.person.nationality
 	Koh TraorÃ©	m.01699	Burkina Faso	people.person.nationality
 	Patrick Peter	m.06tw8	Sudan	people.person.nationality
 	Olaf Weber	m.0345h	Germany	people.person.nationality
 	Patrik Borg	m.02vzc	Finland	people.person.nationality
 	Vincenzo Montalbano	m.03rjj	Italy	people.person.nationality
 	JoÃ£o MÃ¡rio	m.036b_	Guinea-Bissau	people.person.nationality
 	Raimondo Marino	m.03rjj	Italy	people.person.nationality
 	Antonio Margarin	m.01pj7	Croatia	people.person.nationality
 	Edu Gil	m.06mkj	Spain	people.person.nationality
 	Steffen Friedrich	m.0345h	Germany	people.person.nationality
 	Ante Roguljic	m.01pj7	Croatia	people.person.nationality
 	Shigeki Miyata	m.03_3d	Japan	people.person.nationality
 	Ivan Meza	m.09c7w0	United States of America	people.person.nationality
 	Evangelos Togias	m.035qy	Greece	people.person.nationality
 	Gedion Zelalem	m.09c7w0	United States of America	people.person.nationality
 	DÃ¡niel SÃ¡rossy	m.03gj2	Hungary	people.person.nationality
 	Gustavo Giacomazzi	m.07twz	Uruguay	people.person.nationality
 	Jun-Hee Lee	m.06qd3	South Korea	people.person.nationality
 	Elden de Getrouwe	m.059j2	Netherlands	people.person.nationality
 	Andrey Nazarov	m.06bnz	Russia	people.person.nationality
 	Mansour Ba	m.06srk	Senegal	people.person.nationality
 	Tobias Rauch	m.0345h	Germany	people.person.nationality
 	Juan Goyoneche	m.016wzw	Peru	people.person.nationality
 	Theo Kidd	m.02jx1	England	people.person.nationality
 	Roberto Mozzini	m.03rjj	Italy	people.person.nationality
 	Axel Czarnecki	m.0d0vqn	Sweden	people.person.nationality
 	Simo Kinnunen	m.02vzc	Finland	people.person.nationality
 	Sascha Weber	m.0345h	Germany	people.person.nationality
 	Paolo Coppola	m.03rjj	Italy	people.person.nationality
 	Dimitrios Arvanitis	m.035qy	Greece	people.person.nationality
 	Haris Cirak	m.0d0vqn	Sweden	people.person.nationality
 	Arsid Kruja	m.0jdx	Albania	people.person.nationality
 	Tobias Konle	m.0345h	Germany	people.person.nationality
 	Arif Baran	m.01znc_	Turkey	people.person.nationality
 	Ferdi GÃ¼zel	m.01znc_	Turkey	people.person.nationality
 	Jacob Faye-Lund	m.05b4w	Norway	people.person.nationality
 	Martin Allen	m.02jx1	England	people.person.nationality
 	Jermaine Easter	m.0j5g9	Wales	people.person.nationality
 	Dave Challinor	m.02jx1	England	people.person.nationality
 	Santi Chaiyaphuak	m.07f1x	Thailand	people.person.nationality
 	Luiz Paulo	m.015fr	Brazil	people.person.nationality
 	Rino Falk Larsen	m.05b4w	Norway	people.person.nationality
 	RÃºben Macedo	m.05r4w	Portugal	people.person.nationality
 	Tom Cengiz	m.0d0vqn	Sweden	people.person.nationality
 	Luca Landonio	m.03rjj	Italy	people.person.nationality
 	Merveil Bivu	m.02vzc	Finland	people.person.nationality
 	Tom Axford	m.02jx1	England	people.person.nationality
 	Pasi Salmela	m.02vzc	Finland	people.person.nationality
 	Dennis Maier	m.0345h	Germany	people.person.nationality
 	George Colson	m.0j5g9	Wales	people.person.nationality
 	Carsten Dethlefsen	m.0k6nt	Denmark	people.person.nationality
 	Robert Skardal	m.05b4w	Norway	people.person.nationality
 	Rostyslav Taranukha	m.07t21	Ukraine	people.person.nationality
 	Frej Ramberg	m.0d0vqn	Sweden	people.person.nationality
 	Adam Farrell	m.03rt9	Ireland	people.person.nationality
 	Andreas Hain	m.0345h	Germany	people.person.nationality
 	Hendrik Vainu	m.02kmm	Estonia	people.person.nationality
 	Andrew Farrimond	m.02jx1	England	people.person.nationality
 	Manolis Kallergis	m.035qy	Greece	people.person.nationality
 	Sascha Conrad	m.0345h	Germany	people.person.nationality
 	Andreas Roch	m.0345h	Germany	people.person.nationality
 	Aleksi VÃ¤yrynen	m.02vzc	Finland	people.person.nationality
 	Oskar Pogorzelec	m.05qhw	Poland	people.person.nationality
 	Fejsal Mulic	m.077qn	Serbia	people.person.nationality
 	Toni Kuusela	m.02vzc	Finland	people.person.nationality
 	Dale Robertson	m.06q1r	Scotland	people.person.nationality
 	Adriano Gomes de Souza Pires	m.015fr	Brazil	people.person.nationality
 	Nathaniel Boyden	m.09c7w0	United States of America	people.person.nationality
 	Luca Cremonesi	m.03rjj	Italy	people.person.nationality
 	Alejandro Borrueco	m.06mkj	Spain	people.person.nationality
 	Sami Sinkkonen	m.02vzc	Finland	people.person.nationality
 	Vladan Rakic	m.077qn	Serbia	people.person.nationality
 	JosÃ© Enrique Garcia	m.07twz	Uruguay	people.person.nationality
 	Attila HÃ©redi	m.03gj2	Hungary	people.person.nationality
 	Roberto Galletti	m.03rjj	Italy	people.person.nationality
 	Gregor Szostok	m.0345h	Germany	people.person.nationality
 	Alberto Marchetti	m.03rjj	Italy	people.person.nationality
 	Fabio Eduardo Cribari	m.015fr	Brazil	people.person.nationality
 	Keita Mizutani	m.03_3d	Japan	people.person.nationality
 	Onur Ulusoy	m.01znc_	Turkey	people.person.nationality
 	Thomas GrÃ¶gaard	m.05b4w	Norway	people.person.nationality
 	Sergiu David	m.06c1y	Romania	people.person.nationality
 	Chinadorai Sabeeth	m.03rk0	India	people.person.nationality
 	Ali Razali	m.06t2t	Singapore	people.person.nationality
 	Gianluca Cherubini	m.03rjj	Italy	people.person.nationality
 	Keith Scott	m.02jx1	England	people.person.nationality
 	Ville Sevon	m.02vzc	Finland	people.person.nationality
 	Willi Pittana	m.03rjj	Italy	people.person.nationality
 	Gustavo Neffa	m.05v10	Paraguay	people.person.nationality
 	Malike    Benrouggibbi	m.03rt9	Ireland	people.person.nationality
 	Takahiro Tsutsumi	m.03_3d	Japan	people.person.nationality
 	Alekso Noveski	m.0bk25	Macedonia	people.person.nationality
 	Phaisan Pona	m.07f1x	Thailand	people.person.nationality
 	Maksym Koval	m.0d060g	Canada	people.person.nationality
 	Stefano Melchiori	m.03rjj	Italy	people.person.nationality
 	Bastian Rossmann	m.0345h	Germany	people.person.nationality
 	Rainer Moosbauer	m.0h7x	Austria	people.person.nationality
 	Alexandre Infante	m.06mzp	Switzerland	people.person.nationality
 	VÃ­ctor Ros PÃ©rez Bates	m.06mkj	Spain	people.person.nationality
 	Nils HÃ¼hne	m.0345h	Germany	people.person.nationality
 	Cosmin Vasiu	m.06c1y	Romania	people.person.nationality
 	Hayrullah Alici	m.01znc_	Turkey	people.person.nationality
 	Konstantinos Andriolas	m.035qy	Greece	people.person.nationality
 	Antonino Criscimanni	m.03rjj	Italy	people.person.nationality
 	Raphael KÃ¼ff	m.0345h	Germany	people.person.nationality
 	Mario Brandani	m.03rjj	Italy	people.person.nationality
 	Marc-Philipp Zuch	m.0345h	Germany	people.person.nationality
 	Oliver Eberholm	m.0d0vqn	Sweden	people.person.nationality
 	Keith Detelj	m.09c7w0	United States of America	people.person.nationality
 	Luis De La Vega	m.0h8d	American Samoa	people.person.nationality
 	Jean Manga-Onguene	m.01nln	Cameroon	people.person.nationality
 	Abdulla Ali Al Deyani	m.0697s	Qatar	people.person.nationality
 	Albert Berisha	m.0d0vqn	Sweden	people.person.nationality
 	Konstantinos Chaniotakis	m.035qy	Greece	people.person.nationality
 	Eddie Gutierrez	m.09c7w0	United States of America	people.person.nationality
 	Vincent Driessen	m.0345h	Germany	people.person.nationality
 	Junior Mikaele	m.06s9y	Samoa	people.person.nationality
 	Franco Ermini	m.03rjj	Italy	people.person.nationality
 	Ali Abdessemed	m.01znc_	Turkey	people.person.nationality
 	Girolamo Bizzarri	m.03rjj	Italy	people.person.nationality
 	Sascha Bothe	m.0345h	Germany	people.person.nationality
 	Melih Rahman Nisanci	m.01znc_	Turkey	people.person.nationality
 	Ederson MogollÃ³n	m.016wzw	Peru	people.person.nationality
 	Andrius Butkus	m.04gzd	Lithuania	people.person.nationality
 	Vinicius	m.015fr	Brazil	people.person.nationality
 	Conner Robinson	m.02jx1	England	people.person.nationality
 	Ergi Lekaj	m.0jdx	Albania	people.person.nationality
 	Flavio Destro	m.03rjj	Italy	people.person.nationality
 	Filip Sachpekidis	m.0d0vqn	Sweden	people.person.nationality
 	Juha Leukkunen	m.02vzc	Finland	people.person.nationality
 	Kevin Lock	m.02jx1	England	people.person.nationality
 	Emil Handan	m.0166b	Bosnia and Herzegovina	people.person.nationality
 	Thomas Michalowski	m.0345h	Germany	people.person.nationality
 	RogÃ©rio	m.015fr	Brazil	people.person.nationality
 	Georgios Souloganis	m.035qy	Greece	people.person.nationality
 	Arif Ali	m.06t2t	Singapore	people.person.nationality
 	Sven Dechant	m.0345h	Germany	people.person.nationality
 	JosÃ© AlcÃ¡ntara	m.016wzw	Peru	people.person.nationality
 	Ahmet Akin	m.01znc_	Turkey	people.person.nationality
 	Alberto Bernardi	m.03rjj	Italy	people.person.nationality
 	Maik Ferber	m.0345h	Germany	people.person.nationality
 	Zachary Kupfer	m.09c7w0	United States of America	people.person.nationality
 	Nicola Ercolino	m.03rjj	Italy	people.person.nationality
 	Ezio Rossi	m.03rjj	Italy	people.person.nationality
 	Philip McCabe	m.03rt9	Ireland	people.person.nationality
 	Manuel Saccani	m.03rjj	Italy	people.person.nationality
 	Anthony Mossi Ngawi	m.06mzp	Switzerland	people.person.nationality
 	Heraldo Jorrin	m.0345h	Germany	people.person.nationality
 	Ryogo Kaburagi	m.03_3d	Japan	people.person.nationality
 	Stuart Nelson	m.02jx1	England	people.person.nationality
 	Thiago Medeiros	m.015fr	Brazil	people.person.nationality
 	Fredrik Greve Monsen	m.05b4w	Norway	people.person.nationality
 	Ernesto Calisti	m.03rjj	Italy	people.person.nationality
 	Steffan Klungland	m.05b4w	Norway	people.person.nationality
 	Nick Hammond	m.02jx1	England	people.person.nationality
 	Alessandro Pane	m.03rjj	Italy	people.person.nationality
 	Babis Intzoglou	m.035qy	Greece	people.person.nationality
 	Cristofer Vargas	m.016wzw	Peru	people.person.nationality
 	Lassad Hammami	m.07fj_	Tunisia	people.person.nationality
 	Georgios Savvidis	m.035qy	Greece	people.person.nationality
 	Petar Mamic	m.01pj7	Croatia	people.person.nationality
 	Min-Ho Park	m.06qd3	South Korea	people.person.nationality
 	Anderson Silva	m.015fr	Brazil	people.person.nationality
 	Elliot Wheeler	m.02jx1	England	people.person.nationality
 	Jamy-Tommy Viljamaa	m.02vzc	Finland	people.person.nationality
