Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
m.03c56ch	Gary Blackledge	m.05bcl	Northern Ireland	people.person.nationality
m.09gnmdg	Eric Opoku	m.035dk	Ghana	people.person.nationality
m.0b6f2vp	Milorad Milutinović	m.077qn	Serbia	people.person.nationality
m.02qyvzq	John Doran	m.03rt9	Ireland	people.person.nationality
m.02qyk_n	Padraig O'Connor	m.03rt9	Ireland	people.person.nationality
m.0807_1m	Guillermo Morigi	m.0jgd	Argentina	people.person.nationality
m.0d4nxx	James Henderson	m.06q1r	Scotland	people.person.nationality
m.0gfj01g	George Thomson	m.06q1r	Scotland	people.person.nationality
m.09g9tq7	Nils Ove Hellvik	m.05b4w	Norway	people.person.nationality
m.0hgpzy2	Gunnar Dybwad	m.05b4w	Norway	people.person.nationality
m.09g8s0_	Ahmed Khamis	m.05l8y	Oman	people.person.nationality
m.07khghn	Ernie Taylor	m.02jx1	England	people.person.nationality
m.04f2h9c	Aleksandr Novikov	m.06bnz	Russia	people.person.nationality
m.076wx68	Arthur Bell	m.02jx1	England	people.person.nationality
m.064qfcn	Stephen Hughes	m.05bcl	Northern Ireland	people.person.nationality
m.0dlqkd0	Leopold Gernhardt	m.0h7x	Austria	people.person.nationality
m.047t4f_	Jonathan Atkinson	m.02jx1	England	people.person.nationality
m.0gvst5r	Roman Kosyanchuk	m.06bnz	Russia	people.person.nationality
m.07k68pr	Jim Stevenson	m.02jx1	England	people.person.nationality
m.03c3rzx	Derek Carroll	m.03rt9	Ireland	people.person.nationality
m.09zp76	Ailton	m.015fr	Brazil	people.person.nationality
m.04f3dkf	Vadim Nikonov	m.06bnz	Russia	people.person.nationality
m.065yk9q	Andy Kerr	m.06q1r	Scotland	people.person.nationality
m.0dln50p	Vado	m.0j4b	Angola	people.person.nationality
m.0fphsgk	John Roberts	m.06q1r	Scotland	people.person.nationality
m.04gtlnb	Vladimir Kozlov	m.06bnz	Russia	people.person.nationality
m.0bs16kj	Paul Bonga Bonga	m.01rxw	Congo	people.person.nationality
m.0b6fmtm	Antun Herceg	m.077qn	Serbia	people.person.nationality
m.04gnz6h	Aleksandr Syomin	m.0jhd	Azerbaijan	people.person.nationality
m.04f1742	Vladimir Sakharov	m.06bnz	Russia	people.person.nationality
m.0czb_cc	Bobby Blackwood	m.06q1r	Scotland	people.person.nationality
m.0ds2pyz	Ashton Cyrillien	m.0l3h	Antigua and Barbuda	people.person.nationality
m.0fpjd86	John Hansen	m.02w9s	Faroe Islands	people.person.nationality
m.0g9wb90	Domingos Neves	m.05r4w	Portugal	people.person.nationality
m.0hr70cq	John Hansen	m.02w9s	Faroe Islands	people.person.nationality
m.04ybl9g	Viktor Tegelhoff	m.06npd	Slovakia	people.person.nationality
m.042zll3	Paulo Monteiro	m.05r4w	Portugal	people.person.nationality
m.0b73r6f	Mario Farrugia	m.04v3q	Malta	people.person.nationality
m.05f55vv	Mark Bell	m.02jx1	England	people.person.nationality
m.0ggb3hm	Louis Mesnier	m.0f8l9c	France	people.person.nationality
m.05zp9bp	Gino Orlando	m.015fr	Brazil	people.person.nationality
m.0bbzf_j	Angelo Franzosi	m.03rjj	Italy	people.person.nationality
m.0gfj0d4	Jock Paterson	m.06q1r	Scotland	people.person.nationality
m.065zzwf	Alexandru Moldovan	m.06c1y	Romania	people.person.nationality
m.03yhwk4	Billy Millar	m.06q1r	Scotland	people.person.nationality
m.04gnc6s	John Parke	m.05bcl	Northern Ireland	people.person.nationality
m.04m_n92	Vilmos Sipos	m.03gj2	Hungary	people.person.nationality
m.02rfqcv	Neville Steedman	m.03rt9	Ireland	people.person.nationality
m.04p_z9b	Juca	m.05r4w	Portugal	people.person.nationality
m.0524j9q	Ion Oblemenco	m.06c1y	Romania	people.person.nationality
m.04g1_7b	Aleksandr Khapsalis	m.047lj	Kazakhstan	people.person.nationality
m.0gtxp7z	Juan Chang	m.0345_	Guatemala	people.person.nationality
m.0fl7pd	Willie Brown	m.03rt9	Ireland	people.person.nationality
m.02zbl2y	Jimmy Dunn	m.03rt9	Ireland	people.person.nationality
m.0bs830f	Carlo Capra	m.03rjj	Italy	people.person.nationality
m.057hm8b	Gordon Clayton	m.02jx1	England	people.person.nationality
m.04f1nkn	Mohammed Shakir	m.0d05q4	Iraq	people.person.nationality
m.0b7669y	Alberto Bertuccelli	m.03rjj	Italy	people.person.nationality
m.080bgw6	Arne Bakker	m.05b4w	Norway	people.person.nationality
m.0464jrm	Mohamed Salem	m.07fj_	Tunisia	people.person.nationality
m.03wds5t	Lazar Tasić	m.077qn	Serbia	people.person.nationality
m.080pnt1	Emanuel Fabri	m.04v3q	Malta	people.person.nationality
m.03yf3d0	Mladen Furtula	m.0166b	Bosnia and Herzegovina	people.person.nationality
